,lfc_R,lfc_atlas,lfc_difference,padj_R,padj_atlas,Direction_R,Direction_atlas,Direction_match
PRUPE_2G279700,-3.64703923886446,-1.9,1.7470392388644602,0.0017657893706764,0.002778838467642,Down,Down,True
PRUPE_7G239400,-3.34103059019021,-1.6,1.74103059019021,0.0144176821501533,0.0202027442068287,Down,Down,True
PRUPE_8G156600,-5.51288906725226,-3.8,1.7128890672522603,3.79686080933444e-12,1.5907346578930701e-15,Down,Down,True
PRUPE_3G033500,-3.9072461699841,-2.2,1.7072461699840997,0.0001179288696696,0.000251678961990842,Down,Down,True
PRUPE_7G087200,3.20662578466071,1.5,1.70662578466071,0.033133176139475,0.0438992558795579,Up,Up,True
PRUPE_4G028700,-3.36979957760438,-1.7,1.66979957760438,0.0153767985655954,0.0121554229878078,Down,Down,True
PRUPE_6G314500,-3.14130122122414,-1.5,1.6413012212241398,0.0444079255211598,0.0415069664225069,Down,Down,True
PRUPE_5G167500,-4.30507563858256,-2.7,1.6050756385825595,8.66625058558819e-06,1.50547768011966e-07,Down,Down,True
PRUPE_8G007800,3.50209493311042,1.9,1.6020949331104202,0.0016667795461179,0.0022270248847082,Up,Up,True
PRUPE_4G241200,-3.29366081993322,-1.7,1.59366081993322,0.0151521238538044,0.010283644388234,Down,Down,True
PRUPE_3G082500,-3.47179354918181,-1.9,1.5717935491818102,0.009235740883558,0.0030845165846354,Down,Down,True
PRUPE_4G213600,-4.71670222927304,-3.2,1.51670222927304,2.36323294596445e-10,3.93951300631919e-10,Down,Down,True
PRUPE_2G125400,-3.2086494982231,-1.7,1.5086494982231,0.0110160793677679,0.0104129740343733,Down,Down,True
PRUPE_4G093600,-3.75431459585207,-2.3,1.45431459585207,0.0004810375250222,6.05528269149528e-05,Down,Down,True
PRUPE_7G152300,3.59274976642146,2.2,1.3927497664214599,0.0001690628006005,0.000223917084470552,Up,Up,True
PRUPE_8G264800,4.28437093336695,2.9,1.38437093336695,5.83178468944371e-07,1.03902684705174e-08,Up,Up,True
PRUPE_3G056100,-2.98032588612828,-1.6,1.38032588612828,0.0274282157418141,0.0182108688482827,Down,Down,True
PRUPE_8G011200,-3.76816643158838,-2.4,1.3681664315883801,1.27540003849053e-05,1.00179918184163e-05,Down,Down,True
PRUPE_4G252300,-4.35012150496986,-3.0,1.3501215049698603,5.5194898996015e-08,2.60264152343196e-10,Down,Down,True
PRUPE_7G161100,5.04908603687029,3.7,1.3490860368702897,1.3778708192881e-15,1.7195492813153802e-15,Up,Up,True
PRUPE_2G256700,-4.44169758560856,-3.1,1.3416975856085602,1.69629395407228e-10,1.17887399243527e-10,Down,Down,True
PRUPE_2G139500,-3.63482577713304,-2.3,1.33482577713304,2.40592009970005e-05,3.13234337348769e-05,Down,Down,True
PRUPE_1G097000,-3.43214904122767,-2.1,1.33214904122767,0.0002402260139933,0.000294313850187601,Down,Down,True
PRUPE_3G205900,-3.42063309482494,-2.1,1.3206330948249398,0.0010071991089794,0.00036358358669228,Down,Down,True
PRUPE_1G429900,-5.4136691470077,-4.1,1.3136691470077002,5.0671581451301604e-17,1.8423999010086602e-20,Down,Down,True
PRUPE_2G006000,-2.79094405533498,-1.5,1.2909440553349798,0.0311658812096503,0.0383953614820512,Down,Down,True
PRUPE_8G102700,-2.77997705546572,-1.5,1.2799770554657202,0.02207736854083,0.0266669436815411,Down,Down,True
